Add,Block ID,CLUE small area,Longitude,Latitude
"Store 73, 0-0 Flinders Street MELBOURNE 3000",4,Melbourne (CBD),144.96451,-37.82033
"Part Ground & Floor 1, 452 Flinders Street MELBOURNE 3000",12,Melbourne (CBD),144.95728,-37.8211
"Restaurant , 1 William Street MELBOURNE 3000",12,Melbourne (CBD),144.9582,-37.82107
"Shop 1, Ground , 376 Flinders Street MELBOURNE 3000",13,Melbourne (CBD),144.96024,-37.82048
"Part Ground , 22 William Street MELBOURNE 3000",13,Melbourne (CBD),144.95865,-37.82041
"Part Ground , 325 Flinders Lane MELBOURNE 3000",14,Melbourne (CBD),144.96218,-37.8194
"Ground , 18 Queen Street MELBOURNE 3000",14,Melbourne (CBD),144.96126,-37.81993
5 Flinders Lane MELBOURNE 3000,15,Melbourne (CBD),144.96499,-37.8185
23-25 Flinders Lane MELBOURNE 3000,15,Melbourne (CBD),144.96416,-37.81875
9-11 Swanston Street MELBOURNE 3000,15,Melbourne (CBD),144.96562,-37.81888
"Shop 4, 164 Flinders Street MELBOURNE 3000",16,Melbourne (CBD),144.96777,-37.81835
205-0 Flinders Lane MELBOURNE 3000,16,Melbourne (CBD),144.96636,-37.81843
95-101 Flinders Lane MELBOURNE 3000,17,Melbourne (CBD),144.96978,-37.81716
"Ground , 103 Flinders Lane MELBOURNE 3000",17,Melbourne (CBD),144.96965,-37.8172
"Basement , 137-139 Flinders Lane MELBOURNE 3000",17,Melbourne (CBD),144.96873,-37.81737
"Ground , 24 Russell Street MELBOURNE 3000",17,Melbourne (CBD),144.96858,-37.81764
55 Flinders Lane MELBOURNE 3000,18,Melbourne (CBD),144.97152,-37.81649
"Part Ground , 63-77 Collins Street MELBOURNE 3000",21,Melbourne (CBD),144.95504,-37.82045
525 Collins Street MELBOURNE 3000,22,Melbourne (CBD),144.95616,-37.82029
68-70 King Street MELBOURNE 3000,22,Melbourne (CBD),144.95575,-37.82028
"Level 1, 62-66 King Street MELBOURNE 3000",22,Melbourne (CBD),144.95583,-37.82038
42-44 King Street MELBOURNE 3000,22,Melbourne (CBD),144.95601,-37.82082
"Part Ground , 459 Collins Street MELBOURNE 3000",22,Melbourne (CBD),144.95761,-37.81981
"Basement , 386 Collins Street MELBOURNE 3000",23,Melbourne (CBD),144.95976,-37.81928
447 Collins Street MELBOURNE 3000,23,Melbourne (CBD),144.95856,-37.81962
354 Collins Street MELBOURNE 3000,24,Melbourne (CBD),144.96113,-37.81891
"Part Ground , 379 Collins Street MELBOURNE 3000",24,Melbourne (CBD),144.96068,-37.8188
"Ground , 310 Flinders Lane MELBOURNE 3000",24,Melbourne (CBD),144.96237,-37.8189
302 Flinders Lane MELBOURNE 3000,24,Melbourne (CBD),144.9626,-37.81883
"Shop 7, 258 Flinders Lane MELBOURNE 3000",25,Melbourne (CBD),144.96416,-37.81828
8-10 Flinders Lane MELBOURNE 3000,25,Melbourne (CBD),144.96428,-37.81824
8-10 Flinders Lane MELBOURNE 3000,25,Melbourne (CBD),144.96428,-37.81824
"Mezzanine , 20A Flinders Lane MELBOURNE 3000",25,Melbourne (CBD),144.96428,-37.81824
"Ground , 288 Collins Street MELBOURNE 3000",25,Melbourne (CBD),144.96366,-37.81818
"Ground , 234 Flinders Lane MELBOURNE 3000",25,Melbourne (CBD),144.96488,-37.81806
"Shop , Ground , 171 Collins Street MELBOURNE 3000",26,Melbourne (CBD),144.967,-37.81718
214 Collins Street MELBOURNE 3000,26,Melbourne (CBD),144.96611,-37.81745
27 George Parade MELBOURNE 3000,27,Melbourne (CBD),144.96875,-37.8165
"Shop 54, 45 Collins Street MELBOURNE 3000",28,Melbourne (CBD),144.97131,-37.81594
"Shop 1, 608-610 Collins Street MELBOURNE 3000",31,Melbourne (CBD),144.95325,-37.82025
"Shop 1, 608-610 Collins Street MELBOURNE 3000",31,Melbourne (CBD),144.95325,-37.82025
577-583 Little Collins Street MELBOURNE 3000,31,Melbourne (CBD),144.95429,-37.81946
"Part Ground , 106 Little Collins Street MELBOURNE 3000",31,Melbourne (CBD),144.95305,-37.81982
"Shop 3, 520 Collins Street MELBOURNE 3000",32,Melbourne (CBD),144.95595,-37.81944
"Part Ground , 480 Collins Street MELBOURNE 3000",32,Melbourne (CBD),144.95665,-37.81928
"Shop 3, Ground , 440 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95845,-37.81867
"Part Ground , 440 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95845,-37.81867
"Unit 2, Ground , 422 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95868,-37.81844
"Basement , 412 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95917,-37.81863
"Part Ground , 459 Little Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95823,-37.81824
"Rear Ground , 84 William Street MELBOURNE 3000",33,Melbourne (CBD),144.95796,-37.81878
"Shop 5, 12-16 Elizabeth Street MELBOURNE 3000",34,Melbourne (CBD),144.96218,-37.81756
"Shop 217, 260 Collins Street MELBOURNE 3000",35,Melbourne (CBD),144.96359,-37.81706
"Shop 0, LwrGround 0, 234-0 Collins Street MELBOURNE 3000",35,Melbourne (CBD),144.96433,-37.81706
33 Little Collins Street MELBOURNE 3000,35,Melbourne (CBD),144.96291,-37.81693
41-43 Little Collins Street MELBOURNE 3000,35,Melbourne (CBD),144.96291,-37.81693
29 Little Collins Street MELBOURNE 3000,35,Melbourne (CBD),144.96291,-37.81693
"Shop 12, 109-117 Swanston Street MELBOURNE 3000",35,Melbourne (CBD),144.96448,-37.81671
184 Collins Street MELBOURNE 3000,36,Melbourne (CBD),144.96596,-37.81649
184 Collins Street MELBOURNE 3000,36,Melbourne (CBD),144.96596,-37.81649
"Ground , 120 Collins Street MELBOURNE 3000",37,Melbourne (CBD),144.968,-37.81563
"Ground , 120 Collins Street MELBOURNE 3000",37,Melbourne (CBD),144.968,-37.81563
"Shop 5, Ground , 90 Collins Street MELBOURNE 3000",37,Melbourne (CBD),144.96897,-37.81566
"Ground , 1-3 Spring Street MELBOURNE 3000",38,Melbourne (CBD),144.97187,-37.81424
9-11 Spring Street MELBOURNE 3000,38,Melbourne (CBD),144.97187,-37.81424
"Ground , 607 Bourke Street MELBOURNE 3000",41,Melbourne (CBD),144.95424,-37.81841
"Ground , 669-671 Bourke Street MELBOURNE 3000",41,Melbourne (CBD),144.95278,-37.81886
582 Little Collins Street MELBOURNE 3000,41,Melbourne (CBD),144.95404,-37.81906
582 Little Collins Street MELBOURNE 3000,41,Melbourne (CBD),144.95404,-37.81906
"Shop 20, 121 William Street MELBOURNE 3000",42,Melbourne (CBD),144.9565,-37.818
"Part Ground , 575 Bourke Street MELBOURNE 3000",42,Melbourne (CBD),144.95535,-37.81815
"Part Ground , 461 Bourke Street MELBOURNE 3000",43,Melbourne (CBD),144.95886,-37.81713
19 McKillop Street MELBOURNE 3000,44,Melbourne (CBD),144.96031,-37.81698
283-297 Bourke Street MELBOURNE 3000,45,Melbourne (CBD),144.96391,-37.81585
"Shop 7, Level 1, 283 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96391,-37.81585
"Shop 15, Basement , 283-297 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96391,-37.81585
"Shop 13, 309-325 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96322,-37.81609
"Shop 9, 309-325 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96322,-37.81609
"Shop 9, 309-325 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96322,-37.81609
Part 339 Bourke Street MELBOURNE 3000,45,Melbourne (CBD),144.96266,-37.81602
314 Bourke Street MELBOURNE 3000,45,Melbourne (CBD),144.96266,-37.81602
314 Bourke Street MELBOURNE 3000,45,Melbourne (CBD),144.96266,-37.81602
"Shop 4, 331 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96266,-37.81602
"Unit 1, Basement , 168 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96235,-37.81607
