Census year,Add,Shop,Seating type,Number of seats
2002,"Store 73, 0-0 Flinders Street MELBOURNE 3000",Coffee HQ,Seats - Indoor,32
2002,"Part Ground & Floor 1, 452 Flinders Street MELBOURNE 3000",Caffe Masters,Seats - Indoor,132
2002,"Restaurant , 1 William Street MELBOURNE 3000",Williams Bar Cafe,Seats - Indoor,80
2002,"Shop 1, Ground , 376 Flinders Street MELBOURNE 3000",Harros On Flinders,Seats - Indoor,30
2002,"Part Ground , 22 William Street MELBOURNE 3000",Cafe 22,Seats - Indoor,75
2002,"Part Ground , 325 Flinders Lane MELBOURNE 3000",Food Xchange,Seats - Indoor,49
2002,"Ground , 18 Queen Street MELBOURNE 3000",Cafe Lorca,Seats - Indoor,80
2002,5 Flinders Lane MELBOURNE 3000,Piccolo Cafe/bar,Seats - Outdoor,12
2002,23-25 Flinders Lane MELBOURNE 3000,Degraves Espresso,Seats - Indoor,31
2002,9-11 Swanston Street MELBOURNE 3000,McDonald's,Seats - Outdoor,36
2002,"Shop 4, 164 Flinders Street MELBOURNE 3000",Interval Coffee Shop,Seats - Outdoor,6
2002,205-0 Flinders Lane MELBOURNE 3000,Peter Rowland at the Chapter House,Seats - Indoor,140
2002,95-101 Flinders Lane MELBOURNE 3000,Rosati Restaurant,Seats - Indoor,250
2002,"Ground , 103 Flinders Lane MELBOURNE 3000",Mr Birds Myo,Seats - Indoor,80
2002,"Basement , 137-139 Flinders Lane MELBOURNE 3000",Yu.u Japanese Restaurant,Seats - Indoor,30
2002,"Ground , 24 Russell Street MELBOURNE 3000",Murasaki Japanese Restaurant,Seats - Indoor,70
2002,55 Flinders Lane MELBOURNE 3000,Guggenheim Cafe,Seats - Indoor,22
2002,"Part Ground , 63-77 Collins Street MELBOURNE 3000",Cafe Paci,Seats - Indoor,18
2002,525 Collins Street MELBOURNE 3000,Saluti Cafe,Seats - Outdoor,70
2002,68-70 King Street MELBOURNE 3000,Schwobs Swiss,Seats - Outdoor,24
2002,"Level 1, 62-66 King Street MELBOURNE 3000",Daniels Restaurant,Seats - Indoor,111
2002,42-44 King Street MELBOURNE 3000,Zest,Seats - Indoor,126
2002,"Part Ground , 459 Collins Street MELBOURNE 3000",Club Sandwich,Seats - Indoor,70
2002,"Basement , 386 Collins Street MELBOURNE 3000",Moylans Cafe Restaurant,Seats - Indoor,110
2002,447 Collins Street MELBOURNE 3000,The Moat Coffee Shop,Seats - Outdoor,15
2002,354 Collins Street MELBOURNE 3000,The Overdraft Deli,Seats - Indoor,70
2002,"Part Ground , 379 Collins Street MELBOURNE 3000",Le Croissant Connection,Seats - Indoor,130
2002,"Ground , 310 Flinders Lane MELBOURNE 3000",Zukini,Seats - Indoor,170
2002,302 Flinders Lane MELBOURNE 3000,Think Fresh,Seats - Indoor,46
2002,"Shop 7, 258 Flinders Lane MELBOURNE 3000",Amicis Cafe,Seats - Indoor,45
2002,8-10 Flinders Lane MELBOURNE 3000,Cafe Cugini,Seats - Indoor,30
2002,8-10 Flinders Lane MELBOURNE 3000,Cafe Cugini,Seats - Outdoor,8
2002,"Mezzanine , 20A Flinders Lane MELBOURNE 3000",Hell's Kitchen,Seats - Indoor,55
2002,"Ground , 288 Collins Street MELBOURNE 3000",Schwobs Swiss Gourmet Sandwich Bar,Seats - Indoor,75
2002,"Ground , 234 Flinders Lane MELBOURNE 3000",Manchester Lane,Seats - Indoor,250
2002,"Shop , Ground , 171 Collins Street MELBOURNE 3000",Ponti's Cafe,Seats - Indoor,18
2002,214 Collins Street MELBOURNE 3000,Cafe Di Capo,Seats - Outdoor,71
2002,27 George Parade MELBOURNE 3000,Italy 1,Seats - Indoor,44
2002,"Shop 54, 45 Collins Street MELBOURNE 3000",Kenzan Japanese Restaurant,Seats - Indoor,80
2002,"Shop 1, 608-610 Collins Street MELBOURNE 3000",J Cs Cafe,Seats - Indoor,25
2002,"Shop 1, 608-610 Collins Street MELBOURNE 3000",J Cs Cafe,Seats - Outdoor,10
2002,577-583 Little Collins Street MELBOURNE 3000,Tatou,Seats - Indoor,120
2002,"Part Ground , 106 Little Collins Street MELBOURNE 3000",Virgo's Restaurant,Seats - Indoor,200
2002,"Shop 3, 520 Collins Street MELBOURNE 3000",Hermes Fine Foods,Seats - Indoor,30
2002,"Part Ground , 480 Collins Street MELBOURNE 3000",Hydra Cafe,Seats - Indoor,220
2002,"Shop 3, Ground , 440 Collins Street MELBOURNE 3000",Cafe Saba,Seats - Outdoor,12
2002,"Part Ground , 440 Collins Street MELBOURNE 3000",Starbucks Coffee Company,Seats - Indoor,60
2002,"Unit 2, Ground , 422 Collins Street MELBOURNE 3000",Air Sushi,Seats - Indoor,30
2002,"Basement , 412 Collins Street MELBOURNE 3000",Pick-a-bread,Seats - Indoor,35
2002,"Part Ground , 459 Little Collins Street MELBOURNE 3000",Terrace Deli,Seats - Indoor,120
2002,"Rear Ground , 84 William Street MELBOURNE 3000",Louis Gourmet Lunch,Seats - Indoor,54
2002,"Shop 5, 12-16 Elizabeth Street MELBOURNE 3000",Indiana Spice A Restaurant,Seats - Indoor,60
2002,"Shop 217, 260 Collins Street MELBOURNE 3000",Cafe Classico,Seats - Indoor,120
2002,"Shop 0, LwrGround 0, 234-0 Collins Street MELBOURNE 3000",Organic,Seats - Indoor,30
2002,33 Little Collins Street MELBOURNE 3000,Cafe Segovia,Seats - Indoor,35
2002,41-43 Little Collins Street MELBOURNE 3000,Caffe E Biscotti,Seats - Indoor,60
2002,29 Little Collins Street MELBOURNE 3000,Dinkum Pies,Seats - Indoor,29
2002,"Shop 12, 109-117 Swanston Street MELBOURNE 3000",Sleepy Dogs Cafe,Seats - Outdoor,16
2002,184 Collins Street MELBOURNE 3000,Cafe Dorsay,Seats - Indoor,65
2002,184 Collins Street MELBOURNE 3000,Cafe Dorsay,Seats - Outdoor,12
2002,"Ground , 120 Collins Street MELBOURNE 3000",Cafe Cento Venti,Seats - Indoor,80
2002,"Ground , 120 Collins Street MELBOURNE 3000",Cafe Cento Venti,Seats - Outdoor,19
2002,"Shop 5, Ground , 90 Collins Street MELBOURNE 3000",Alfred's Place,Seats - Outdoor,8
2002,"Ground , 1-3 Spring Street MELBOURNE 3000",Excello Cafe,Seats - Outdoor,24
2002,9-11 Spring Street MELBOURNE 3000,Spring Cafe & Larder,Seats - Outdoor,20
2002,"Ground , 607 Bourke Street MELBOURNE 3000",Good Taste Cafe,Seats - Outdoor,12
2002,"Ground , 669-671 Bourke Street MELBOURNE 3000",Chafs Cafe,Seats - Outdoor,9
2002,582 Little Collins Street MELBOURNE 3000,St Arnou,Seats - Indoor,101
2002,582 Little Collins Street MELBOURNE 3000,St Arnou,Seats - Outdoor,26
2002,"Shop 20, 121 William Street MELBOURNE 3000",Cafe Diy,Seats - Outdoor,32
2002,"Part Ground , 575 Bourke Street MELBOURNE 3000",Lure's Gourmet Sandwich Bar,Seats - Indoor,66
2002,"Part Ground , 461 Bourke Street MELBOURNE 3000",Schwobs Gourmet Sandwich Bar,Seats - Indoor,24
2002,19 McKillop Street MELBOURNE 3000,Stray Kat,Seats - Indoor,52
2002,283-297 Bourke Street MELBOURNE 3000,Asian Gourmet,Seats - Indoor,90
2002,"Shop 7, Level 1, 283 Bourke Street MELBOURNE 3000",Centrepoint Coffee Lounge,Seats - Indoor,100
2002,"Shop 15, Basement , 283-297 Bourke Street MELBOURNE 3000",Pancake Parlour,Seats - Indoor,250
2002,"Shop 13, 309-325 Bourke Street MELBOURNE 3000",Pesaro,Seats - Outdoor,26
2002,"Shop 9, 309-325 Bourke Street MELBOURNE 3000",Riva Cafe,Seats - Indoor,55
2002,"Shop 9, 309-325 Bourke Street MELBOURNE 3000",Riva Cafe,Seats - Outdoor,25
2002,Part 339 Bourke Street MELBOURNE 3000,Bohemia Cakes,Seats - Outdoor,6
2002,314 Bourke Street MELBOURNE 3000,Cafe E Torta,Seats - Indoor,12
2002,314 Bourke Street MELBOURNE 3000,Cafe E Torta,Seats - Outdoor,20
